12  53.389583333   16.092500000      591    11090    25      0.000  IMI EPMI EP MIROSLAWIEC DME-ILS
 4  52.195611111   21.630000000      591    11130    18  95310.270  IMM EPMM EP 26 ILS-cat-I
 6  52.194361111   21.668888889      591    11130    18 300270.270  IMM EPMM EP 26 GS
12  52.194361111   21.668888889      591    11130    25      0.000  IMM EPMM EP MINSK MAZOWIECKI DME-ILS
 4  52.453333333   20.674250000      394    10830    18  27441.245 IMDX EPMO EP 08 ILS-cat-II
 6  52.448833333   20.638916667      394    10830    18 300081.245 IMDX EPMO EP 08 GS
12  52.448833333   20.638916667      394    10830    25      0.000 IMDX EPMO EP MODLIN DME-ILS
 4  54.589555556   18.500833333      197    10950    18 112276.401  IOW EPOK EP 31 ILS-cat-I
 6  54.572861111   18.525694444      197    10950    18 300316.401  IOW EPOK EP 31 GS
12  54.572916667   18.525694444      197    10950    25      0.000  IOW EPOK EP OKSYWIE DME-ILS
 4  52.425833333   16.801527778      394    11030    18 102527.602  POZ EPPO EP 28 ILS-cat-I
 6  52.419888889   16.838055556      394    11030    18 300287.602  POZ EPPO EP 28 GS
12  52.419888889   16.838055556      394    11030    25      0.000  POZ EPPO EP LAWICA DME-ILS
 4  52.385583333   17.818055556      394    11110    18 101807.441  IPW EPPW EP 28L ILS-cat-I
 6  52.376277778   17.872583333      394    11110    18 300287.441  IPW EPPW EP 28L GS
12  52.376277778   17.872583333      394    11110    25      0.000  IPW EPPW EP POWIDZ DME-ILS
 4  50.110277778   21.995527778      669    11030    18  95671.202  RZW EPRZ EP 27 ILS-cat-II
 6  50.108583333   22.041361111      669    11030    18 300271.202  RZW EPRZ EP 27 GS
12  50.108583333   22.041361111      689    11030    25      0.000  RZW EPRZ EP JASIONKA DME-ILS
14  50.110221389   21.999428611      668    66606 152.0    271.216  R27 EPRZ EP 27 LPV
16  50.109594444   22.046158333      668    66606  50.0 300271.216  R27 EPRZ EP 27 EGNOS
 4  53.594416667   14.883388889      155    11050    18 110830.965  SZC EPSC EP 31 ILS-cat-I
 6  53.578333333   14.911611111      155    11050    18 300310.965  SZC EPSC EP 31 GS
12  53.578305556   14.911611111      197    11050    25      0.000  SZC EPSC EP GOLENIOW DME-ILS
 4  53.796166667   15.801611111      394    11155    18 103250.845  ISN EPSN EP 29 ILS-cat-I
 6  53.788750000   15.839750000      394    11155    18 300290.845  ISN EPSN EP 29 GS
12  53.788750000   15.839750000      394    11155    25      0.000  ISN EPSN EP SWIDWIN DME-ILS
 4  53.495000000   20.945055556      440    10810    18   4698.432  SZY EPSY EP 01 ILS-cat-I
 6  53.474361111   20.931583333      440    10810    18 300018.432  SZY EPSY EP 01 GS
12  53.474361111   20.931583333      492    10810    25      0.000  SZY EPSY EP OLSZTYN-MAZURY DME-ILS
 4  52.180555556   20.954166667      394    11030    18 118051.803   WA EPWA EP 33 ILS-cat-III
 6  52.156777778   20.972972222      394    11030    18 300331.803   WA EPWA EP 33 GS
12  52.156777778   20.972972222      394    11030    25      0.000   WA EPWA EP CHOPIN DME-ILS
 4  52.160611111   20.985416667      394    10990    18  39354.602  WAS EPWA EP 11 ILS-cat-II
 6  52.171166667   20.951638889      394    10990    18 300114.602  WAS EPWA EP 11 GS
12  52.171166667   20.951638889      394    10990    25      0.000  WAS EPWA EP CHOPIN DME-ILS
 4  51.110388889   16.860694444      394    11030    18 105416.016  WRO EPWR EP 29 ILS-cat-II
 6  51.098944444   16.893083333      394    11030    18 300296.016  WRO EPWR EP 29 GS
12  51.098944444   16.893083333      394    11030    25      0.000  WRO EPWR EP STRACHOWICE DME-ILS
14  51.098961111   16.897958333      404    59261   0.0    115.991  R11 EPWR EP 11 LPV
16  51.108802778   16.865827778      404    59261  50.0 300115.991  R11 EPWR EP 11 EGNOS
14  51.109177778   16.864602778      400    63836   0.0    296.016  R29 EPWR EP 29 LPV
16  51.098961111   16.897958333      400    63836  50.0 300296.016  R29 EPWR EP 29 EGNOS
 4  52.132583333   15.778222222      197    11130    18  87004.614 IZGA EPZG EP 24 ILS-cat-I
 6  52.141111111   15.811750000      197    11130    18 300244.614 IZGA EPZG EP 24 GS
12  52.141111111   15.811750000      197    11130    25      0.000 IZGA EPZG EP BABIMOST DME-ILS
 2  54.414638889   16.368638889        0      436    15      0.000    S EPDA EP DARLOWO NDB
 2  54.432250000   16.396361111        0      474    15      0.000   SA EPDA EP DARLOWO NDB
